Day,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4,sex,measure
0,1.0,49.1477,0.0379,41.697,43.56,45.422,47.285,49.148,51.01,52.873,54.736,56.598,F,height
1,1.0,49.3166,0.03783,41.854,43.72,45.585,47.451,49.317,51.182,53.048,54.914,56.779,F,height
2,1.0,49.4854,0.03776,42.011,43.88,45.748,47.617,49.485,51.354,53.223,55.091,56.96,F,height
3,1.0,49.6543,0.0377,42.166,44.038,45.91,47.782,49.654,51.526,53.398,55.27,57.142,F,height
4,1.0,49.8232,0.03763,42.324,44.199,46.074,47.948,49.823,51.698,53.573,55.448,57.323,F,height
5,1.0,49.9921,0.03756,42.481,44.359,46.237,48.114,49.992,51.87,53.748,55.625,57.503,F,height
6,1.0,50.1609,0.03749,42.639,44.519,46.4,48.28,50.161,52.041,53.922,55.802,57.683,F,height
7,1.0,50.3298,0.03742,42.796,44.68,46.563,48.446,50.33,52.213,54.096,55.98,57.863,F,height
8,1.0,50.4987,0.03735,42.954,44.84,46.726,48.613,50.499,52.385,54.271,56.157,58.043,F,height
9,1.0,50.6676,0.03728,43.112,45.001,46.89,48.779,50.668,52.556,54.445,56.334,58.223,F,height
10,1.0,50.8365,0.03722,43.268,45.16,47.052,48.944,50.836,52.729,54.621,56.513,58.405,F,height
11,1.0,51.0053,0.03715,43.426,45.321,47.216,49.11,51.005,52.9,54.795,56.69,58.585,F,height
12,1.0,51.1742,0.03708,43.584,45.482,47.379,49.277,51.174,53.072,54.969,56.867,58.764,F,height
13,1.0,51.3431,0.03701,43.742,45.642,47.543,49.443,51.343,53.243,55.144,57.044,58.944,F,height
14,1.0,51.512,0.03694,43.901,45.803,47.706,49.609,51.512,53.415,55.318,57.221,59.123,F,height
15,1.0,51.651,0.0369,44.027,45.933,47.839,49.745,51.651,53.557,55.463,57.369,59.275,F,height
16,1.0,51.7895,0.03687,44.152,46.061,47.971,49.88,51.79,53.699,55.608,57.518,59.427,F,height
17,1.0,51.9272,0.03683,44.277,46.19,48.102,50.015,51.927,53.84,55.752,57.665,59.577,F,height
18,1.0,52.0641,0.0368,44.4,46.316,48.232,50.148,52.064,53.98,55.896,57.812,59.728,F,height
19,1.0,52.2002,0.03676,44.525,46.444,48.362,50.281,52.2,54.119,56.038,57.957,59.876,F,height
20,1.0,52.3353,0.03673,44.646,46.568,48.491,50.413,52.335,54.258,56.18,58.102,60.024,F,height
21,1.0,52.4695,0.03669,44.769,46.694,48.619,50.544,52.47,54.395,56.32,58.245,60.17,F,height
22,1.0,52.6027,0.03666,44.889,46.817,48.746,50.674,52.603,54.531,56.46,58.388,60.316,F,height
23,1.0,52.7349,0.03663,45.008,46.94,48.872,50.803,52.735,54.667,56.598,58.53,60.462,F,height
24,1.0,52.8661,0.0366,45.127,47.061,48.996,50.931,52.866,54.801,56.736,58.671,60.606,F,height
25,1.0,52.9963,0.03656,45.246,47.184,49.121,51.059,52.996,54.934,56.871,58.809,60.746,F,height
26,1.0,53.1255,0.03653,45.363,47.303,49.244,51.185,53.126,55.066,57.007,58.948,60.888,F,height
27,1.0,53.2537,0.0365,45.479,47.422,49.366,51.31,53.254,55.197,57.141,59.085,61.029,F,height
28,1.0,53.3809,0.03647,45.594,47.54,49.487,51.434,53.381,55.328,57.275,59.221,61.168,F,height
29,1.0,53.5072,0.03644,45.708,47.658,49.608,51.557,53.507,55.457,57.407,59.357,61.306,F,height
30,1.0,53.6326,0.03641,45.822,47.774,49.727,51.68,53.633,55.585,57.538,59.491,61.444,F,height
31,1.0,53.7571,0.03638,45.934,47.89,49.846,51.801,53.757,55.713,57.668,59.624,61.58,F,height
32,1.0,53.8806,0.03636,46.044,48.003,49.962,51.922,53.881,55.84,57.799,59.758,61.717,F,height
33,1.0,54.0031,0.03633,46.155,48.117,50.079,52.041,54.003,55.965,57.927,59.889,61.851,F,height
34,1.0,54.1247,0.0363,46.266,48.231,50.195,52.16,54.125,56.089,58.054,60.019,61.984,F,height
35,1.0,54.2454,0.03627,46.375,48.343,50.31,52.278,54.245,56.213,58.18,60.148,62.115,F,height
36,1.0,54.3651,0.03625,46.482,48.453,50.424,52.394,54.365,56.336,58.307,60.277,62.248,F,height
37,1.0,54.4839,0.03622,46.59,48.564,50.537,52.51,54.484,56.457,58.431,60.404,62.378,F,height
38,1.0,54.6018,0.03619,46.698,48.674,50.65,52.626,54.602,56.578,58.554,60.53,62.506,F,height
39,1.0,54.7187,0.03617,46.802,48.781,50.76,52.74,54.719,56.698,58.677,60.656,62.635,F,height
40,1.0,54.8348,0.03614,46.908,48.89,50.871,52.853,54.835,56.817,58.798,60.78,62.762,F,height
41,1.0,54.9499,0.03612,47.011,48.996,50.98,52.965,54.95,56.935,58.919,60.904,62.889,F,height
42,1.0,55.0642,0.03609,47.115,49.102,51.09,53.077,55.064,57.051,59.039,61.026,63.013,F,height
43,1.0,55.1777,0.03607,47.217,49.207,51.197,53.187,55.178,57.168,59.158,61.148,63.139,F,height
44,1.0,55.2903,0.03604,47.32,49.312,51.305,53.298,55.29,57.283,59.276,61.268,63.261,F,height
45,1.0,55.4021,0.03602,47.42,49.415,51.411,53.407,55.402,57.398,59.393,61.389,63.384,F,height
46,1.0,55.513,0.036,47.519,49.518,51.516,53.515,55.513,57.511,59.51,61.508,63.507,F,height
47,1.0,55.623,0.03597,47.62,49.621,51.621,53.622,55.623,57.624,59.625,61.625,63.626,F,height
48,1.0,55.7322,0.03595,47.718,49.721,51.725,53.729,55.732,57.736,59.739,61.743,63.746,F,height
49,1.0,55.8406,0.03593,47.815,49.822,51.828,53.834,55.841,57.847,59.853,61.86,63.866,F,height
50,1.0,55.9482,0.03591,47.912,49.921,51.93,53.939,55.948,57.957,59.966,61.975,63.985,F,height
51,1.0,56.0549,0.03588,48.01,50.021,52.032,54.044,56.055,58.066,60.077,62.089,64.1,F,height
52,1.0,56.1609,0.03586,48.105,50.119,52.133,54.147,56.161,58.175,60.189,62.203,64.217,F,height
53,1.0,56.266,0.03584,48.2,50.216,52.233,54.249,56.266,58.283,60.299,62.316,64.332,F,height
54,1.0,56.3704,0.03582,48.294,50.313,52.332,54.351,56.37,58.39,60.409,62.428,64.447,F,height
55,1.0,56.4739,0.0358,48.387,50.409,52.43,54.452,56.474,58.496,60.517,62.539,64.561,F,height
56,1.0,56.5767,0.03578,48.479,50.504,52.528,54.552,56.577,58.601,60.625,62.65,64.674,F,height
57,1.0,56.6788,0.03576,48.571,50.598,52.625,54.652,56.679,58.706,60.732,62.759,64.786,F,height
58,1.0,56.78,0.03574,48.663,50.692,52.721,54.751,56.78,58.809,60.839,62.868,64.897,F,height
59,1.0,56.8806,0.03572,48.753,50.785,52.817,54.849,56.881,58.912,60.944,62.976,65.008,F,height
60,1.0,56.9805,0.0357,48.844,50.878,52.912,54.946,56.98,59.015,61.049,63.083,65.117,F,height
61,1.0,57.0796,0.03568,48.933,50.97,53.006,55.043,57.08,59.116,61.153,63.189,65.226,F,height
62,1.0,57.1782,0.03566,49.022,51.061,53.1,55.139,57.178,59.217,61.256,63.295,65.334,F,height
63,1.0,57.2761,0.03564,49.111,51.152,53.193,55.235,57.276,59.317,61.359,63.4,65.441,F,height
64,1.0,57.3733,0.03562,49.199,51.242,53.286,55.33,57.373,59.417,61.461,63.504,65.548,F,height
65,1.0,57.4699,0.03561,49.284,51.33,53.377,55.423,57.47,59.516,61.563,63.609,65.656,F,height
66,1.0,57.5659,0.03559,49.371,51.42,53.468,55.517,57.566,59.615,61.663,63.712,65.761,F,height
67,1.0,57.6613,0.03557,49.457,51.508,53.559,55.61,57.661,59.712,61.763,63.814,65.865,F,height
68,1.0,57.756,0.03555,49.543,51.596,53.65,55.703,57.756,59.809,61.862,63.916,65.969,F,height
69,1.0,57.8501,0.03553,49.628,51.684,53.739,55.795,57.85,59.906,61.961,64.016,66.072,F,height
70,1.0,57.9436,0.03552,49.711,51.769,53.827,55.885,57.944,60.002,62.06,64.118,66.176,F,height
71,1.0,58.0365,0.0355,49.795,51.856,53.916,55.976,58.036,60.097,62.157,64.217,66.278,F,height
72,1.0,58.1288,0.03548,49.879,51.942,54.004,56.066,58.129,60.191,62.254,64.316,66.378,F,height
73,1.0,58.2206,0.03547,49.96,52.025,54.09,56.156,58.221,60.286,62.351,64.416,66.481,F,height
74,1.0,58.3117,0.03545,50.043,52.11,54.177,56.245,58.312,60.379,62.446,64.513,66.58,F,height
75,1.0,58.4022,0.03543,50.125,52.195,54.264,56.333,58.402,60.471,62.541,64.61,66.679,F,height
76,1.0,58.4922,0.03542,50.205,52.277,54.349,56.42,58.492,60.564,62.636,64.708,66.779,F,height
77,1.0,58.5816,0.0354,50.286,52.36,54.434,56.508,58.582,60.655,62.729,64.803,66.877,F,height
78,1.0,58.6705,0.03539,50.365,52.441,54.518,56.594,58.67,60.747,62.823,64.9,66.976,F,height
79,1.0,58.7588,0.03537,50.446,52.524,54.602,56.681,58.759,60.837,62.915,64.994,67.072,F,height
80,1.0,58.8465,0.03536,50.523,52.604,54.685,56.766,58.846,60.927,63.008,65.089,67.17,F,height
81,1.0,58.9337,0.03534,50.603,52.686,54.768,56.851,58.934,61.016,63.099,65.182,67.265,F,height
82,1.0,59.0204,0.03533,50.68,52.765,54.85,56.935,59.02,61.106,63.191,65.276,67.361,F,height
83,1.0,59.1066,0.03531,50.758,52.845,54.932,57.02,59.107,61.194,63.281,65.368,67.455,F,height
84,1.0,59.1922,0.0353,50.834,52.924,55.013,57.103,59.192,61.282,63.371,65.461,67.55,F,height
85,1.0,59.2773,0.03528,50.912,53.003,55.095,57.186,59.277,61.369,63.46,65.551,67.643,F,height
86,1.0,59.3619,0.03527,50.987,53.081,55.175,57.268,59.362,61.456,63.549,65.643,67.737,F,height
87,1.0,59.4459,0.03526,51.062,53.158,55.254,57.35,59.446,61.542,63.638,65.734,67.83,F,height
88,1.0,59.5295,0.03524,51.138,53.236,55.334,57.432,59.53,61.627,63.725,65.823,67.921,F,height
89,1.0,59.6126,0.03523,51.212,53.312,55.412,57.512,59.613,61.713,63.813,65.913,68.013,F,height
90,1.0,59.6952,0.03521,51.288,53.39,55.491,57.593,59.695,61.797,63.899,66.001,68.103,F,height
91,1.0,59.7773,0.0352,51.361,53.465,55.569,57.673,59.777,61.881,63.986,66.09,68.194,F,height
92,1.0,59.8589,0.03519,51.433,53.54,55.646,57.752,59.859,61.965,64.072,66.178,68.285,F,height
93,1.0,59.9401,0.03517,51.508,53.616,55.724,57.832,59.94,62.048,64.156,66.264,68.372,F,height
94,1.0,60.0209,0.03516,51.58,53.69,55.8,57.911,60.021,62.131,64.242,66.352,68.462,F,height
95,1.0,60.1011,0.03515,51.651,53.763,55.876,57.989,60.101,62.214,64.326,66.439,68.551,F,height
96,1.0,60.181,0.03514,51.722,53.837,55.951,58.066,60.181,62.296,64.411,66.525,68.64,F,height
97,1.0,60.2603,0.03512,51.795,53.911,56.028,58.144,60.26,62.377,64.493,66.609,68.726,F,height
98,1.0,60.3393,0.03511,51.865,53.984,56.102,58.221,60.339,62.458,64.576,66.695,68.813,F,height
99,1.0,60.4178,0.0351,51.935,54.056,56.176,58.297,60.418,62.538,64.659,66.78,68.9,F,height
100,1.0,60.4958,0.03509,52.005,54.127,56.25,58.373,60.496,62.619,64.741,66.864,68.987,F,height
101,1.0,60.5734,0.03508,52.074,54.199,56.324,58.448,60.573,62.698,64.823,66.948,69.073,F,height
102,1.0,60.6506,0.03506,52.145,54.271,56.398,58.524,60.651,62.777,64.903,67.03,69.156,F,height
103,1.0,60.7273,0.03505,52.213,54.342,56.47,58.599,60.727,62.856,64.984,67.113,69.241,F,height
104,1.0,60.8036,0.03504,52.281,54.412,56.542,58.673,60.804,62.934,65.065,67.195,69.326,F,height
105,1.0,60.8795,0.03503,52.349,54.482,56.614,58.747,60.88,63.012,65.145,67.277,69.41,F,height
106,1.0,60.955,0.03502,52.416,54.551,56.686,58.82,60.955,63.09,65.224,67.359,69.494,F,height
107,1.0,61.0301,0.03501,52.483,54.62,56.757,58.893,61.03,63.167,65.303,67.44,69.577,F,height
108,1.0,61.1047,0.035,52.55,54.689,56.827,58.966,61.105,63.243,65.382,67.521,69.659,F,height
109,1.0,61.1789,0.03499,52.616,54.757,56.898,59.038,61.179,63.32,65.46,67.601,69.741,F,height
110,1.0,61.2527,0.03497,52.685,54.827,56.969,59.111,61.253,63.395,65.537,67.679,69.821,F,height
111,1.0,61.3261,0.03496,52.75,54.894,57.038,59.182,61.326,63.47,65.614,67.758,69.902,F,height
112,1.0,61.3991,0.03495,52.816,54.961,57.107,59.253,61.399,63.545,65.691,67.837,69.983,F,height
113,1.0,61.4717,0.03494,52.88,55.028,57.176,59.324,61.472,63.62,65.767,67.915,70.063,F,height
114,1.0,61.5439,0.03493,52.945,55.095,57.244,59.394,61.544,63.694,65.843,67.993,70.143,F,height
115,1.0,61.6156,0.03492,53.009,55.161,57.312,59.464,61.616,63.767,65.919,68.07,70.222,F,height
116,1.0,61.687,0.03491,53.073,55.227,57.38,59.534,61.687,63.84,65.994,68.147,70.301,F,height
117,1.0,61.758,0.0349,53.137,55.292,57.447,59.603,61.758,63.913,66.069,68.224,70.379,F,height
118,1.0,61.8286,0.03489,53.2,55.357,57.514,59.671,61.829,63.986,66.143,68.3,70.457,F,height
119,1.0,61.8988,0.03488,53.263,55.422,57.581,59.74,61.899,64.058,66.217,68.376,70.535,F,height
120,1.0,61.9686,0.03487,53.325,55.486,57.647,59.808,61.969,64.129,66.29,68.451,70.612,F,height
121,1.0,62.0381,0.03487,53.385,55.548,57.712,59.875,62.038,64.201,66.365,68.528,70.691,F,height
122,1.0,62.1071,0.03486,53.447,55.612,57.777,59.942,62.107,64.272,66.437,68.602,70.767,F,height
123,1.0,62.1758,0.03485,53.508,55.675,57.842,60.009,62.176,64.343,66.509,68.676,70.843,F,height
124,1.0,62.2441,0.03484,53.57,55.738,57.907,60.076,62.244,64.413,66.581,68.75,70.918,F,height
125,1.0,62.312,0.03483,53.631,55.801,57.971,60.142,62.312,64.482,66.653,68.823,70.993,F,height
126,1.0,62.3795,0.03482,53.691,55.863,58.035,60.207,62.38,64.552,66.724,68.896,71.068,F,height
127,1.0,62.4467,0.03481,53.752,55.925,58.099,60.273,62.447,64.62,66.794,68.968,71.142,F,height
128,1.0,62.5135,0.0348,53.812,55.987,58.163,60.338,62.514,64.689,66.864,69.04,71.215,F,height
129,1.0,62.58,0.03479,53.871,56.049,58.226,60.403,62.58,64.757,66.934,69.111,71.289,F,height
130,1.0,62.6461,0.03479,53.928,56.108,58.287,60.467,62.646,64.826,67.005,69.184,71.364,F,height
131,1.0,62.7118,0.03478,53.987,56.168,58.35,60.531,62.712,64.893,67.074,69.255,71.436,F,height
132,1.0,62.7772,0.03477,54.046,56.229,58.412,60.594,62.777,64.96,67.143,69.325,71.508,F,height
133,1.0,62.8423,0.03476,54.105,56.289,58.474,60.658,62.842,65.027,67.211,69.395,71.58,F,height
134,1.0,62.907,0.03475,54.163,56.349,58.535,60.721,62.907,65.093,67.279,69.465,71.651,F,height
135,1.0,62.9714,0.03475,54.218,56.407,58.595,60.783,62.971,65.16,67.348,69.536,71.724,F,height
136,1.0,63.0354,0.03474,54.276,56.466,58.656,60.846,63.035,65.225,67.415,69.605,71.795,F,height
137,1.0,63.0991,0.03473,54.333,56.525,58.716,60.908,63.099,65.291,67.482,69.673,71.865,F,height
138,1.0,63.1626,0.03472,54.391,56.584,58.777,60.97,63.163,65.356,67.549,69.742,71.935,F,height
139,1.0,63.2257,0.03471,54.447,56.642,58.837,61.031,63.226,65.42,67.615,69.809,72.004,F,height
140,1.0,63.2884,0.03471,54.501,56.698,58.895,61.092,63.288,65.485,67.682,69.879,72.075,F,height
141,1.0,63.3509,0.0347,54.558,56.756,58.954,61.153,63.351,65.549,67.747,69.946,72.144,F,height
142,1.0,63.4131,0.03469,54.614,56.814,59.013,61.213,63.413,65.613,67.813,70.013,72.212,F,height
143,1.0,63.475,0.03469,54.667,56.869,59.071,61.273,63.475,65.677,67.879,70.081,72.283,F,height
144,1.0,63.5365,0.03468,54.723,56.926,59.13,61.333,63.536,65.74,67.943,70.147,72.35,F,height
145,1.0,63.5978,0.03467,54.778,56.983,59.188,61.393,63.598,65.803,68.008,70.213,72.418,F,height
146,1.0,63.6588,0.03467,54.831,57.038,59.245,61.452,63.659,65.866,68.073,70.28,72.487,F,height
147,1.0,63.7196,0.03466,54.886,57.094,59.303,61.511,63.72,65.928,68.137,70.345,72.554,F,height
148,1.0,63.78,0.03465,54.94,57.15,59.36,61.57,63.78,65.99,68.2,70.41,72.62,F,height
149,1.0,63.8402,0.03465,54.992,57.204,59.416,61.628,63.84,66.052,68.264,70.476,72.688,F,height
150,1.0,63.9,0.03464,55.046,57.26,59.473,61.687,63.9,66.113,68.327,70.54,72.754,F,height
151,1.0,63.9597,0.03463,55.1,57.315,59.53,61.745,63.96,66.175,68.39,70.604,72.819,F,height
152,1.0,64.019,0.03463,55.151,57.368,59.585,61.802,64.019,66.236,68.453,70.67,72.887,F,height
153,1.0,64.0781,0.03462,55.205,57.423,59.641,61.86,64.078,66.296,68.515,70.733,72.952,F,height
154,1.0,64.137,0.03461,55.258,57.478,59.697,61.917,64.137,66.357,68.577,70.796,73.016,F,height
155,1.0,64.1956,0.03461,55.308,57.53,59.752,61.974,64.196,66.417,68.639,70.861,73.083,F,height
156,1.0,64.2539,0.0346,55.361,57.584,59.808,62.031,64.254,66.477,68.7,70.923,73.147,F,height
157,1.0,64.312,0.0346,55.411,57.636,59.862,62.087,64.312,66.537,68.762,70.988,73.213,F,height
158,1.0,64.3699,0.03459,55.464,57.69,59.917,62.143,64.37,66.596,68.823,71.05,73.276,F,height
159,1.0,64.4276,0.03459,55.513,57.742,59.97,62.199,64.428,66.656,68.885,71.113,73.342,F,height
160,1.0,64.485,0.03458,55.565,57.795,60.025,62.255,64.485,66.715,68.945,71.175,73.405,F,height
161,1.0,64.5422,0.03457,55.617,57.849,60.08,62.311,64.542,66.773,69.005,71.236,73.467,F,height
162,1.0,64.5991,0.03457,55.666,57.9,60.133,62.366,64.599,66.832,69.065,71.299,73.532,F,height
163,1.0,64.6559,0.03456,55.718,57.952,60.187,62.421,64.656,66.89,69.125,71.359,73.594,F,height
164,1.0,64.7124,0.03456,55.767,58.003,60.239,62.476,64.712,66.949,69.185,71.422,73.658,F,height
165,1.0,64.7688,0.03455,55.818,58.056,60.293,62.531,64.769,67.007,69.244,71.482,73.72,F,height
166,1.0,64.8249,0.03455,55.866,58.106,60.345,62.585,64.825,67.065,69.304,71.544,73.784,F,height
167,1.0,64.8808,0.03454,55.917,58.158,60.399,62.64,64.881,67.122,69.363,71.604,73.845,F,height
168,1.0,64.9366,0.03454,55.965,58.208,60.451,62.694,64.937,67.18,69.422,71.665,73.908,F,height
169,1.0,64.9921,0.03453,56.015,58.26,60.504,62.748,64.992,67.236,69.48,71.725,73.969,F,height
170,1.0,65.0474,0.03453,56.063,58.309,60.555,62.801,65.047,67.293,69.54,71.786,74.032,F,height
171,1.0,65.1026,0.03453,56.111,58.359,60.607,62.855,65.103,67.351,69.599,71.847,74.095,F,height
172,1.0,65.1576,0.03452,56.161,58.41,60.659,62.908,65.158,67.407,69.656,71.905,74.155,F,height
173,1.0,65.2123,0.03452,56.208,58.459,60.71,62.961,65.212,67.463,69.715,71.966,74.217,F,height
174,1.0,65.267,0.03451,56.258,58.51,60.762,63.015,65.267,67.519,69.772,72.024,74.276,F,height
175,1.0,65.3214,0.03451,56.304,58.559,60.813,63.067,65.321,67.576,69.83,72.084,74.338,F,height
176,1.0,65.3757,0.0345,56.354,58.609,60.865,63.12,65.376,67.631,69.887,72.142,74.398,F,height
177,1.0,65.4298,0.0345,56.4,58.658,60.915,63.172,65.43,67.687,69.944,72.202,74.459,F,height
178,1.0,65.4837,0.0345,56.447,58.706,60.965,63.225,65.484,67.743,70.002,72.261,74.52,F,height
179,1.0,65.5375,0.03449,56.496,58.756,61.017,63.277,65.538,67.798,70.058,72.319,74.579,F,height
180,1.0,65.5911,0.03449,56.542,58.804,61.067,63.329,65.591,67.853,70.116,72.378,74.64,F,height
181,1.0,65.6445,0.03449,56.588,58.852,61.116,63.38,65.644,67.909,70.173,72.437,74.701,F,height
182,1.0,65.6978,0.03448,56.637,58.902,61.167,63.433,65.698,67.963,70.228,72.494,74.759,F,height
183,1.0,65.751,0.03448,56.683,58.95,61.217,63.484,65.751,68.018,70.285,72.552,74.819,F,height
184,1.0,65.804,0.03447,56.731,58.999,61.267,63.536,65.804,68.072,70.341,72.609,74.877,F,height
185,1.0,65.8568,0.03447,56.776,59.047,61.317,63.587,65.857,68.127,70.397,72.667,74.937,F,height
186,1.0,65.9095,0.03447,56.822,59.094,61.366,63.638,65.91,68.181,70.453,72.725,74.997,F,height
187,1.0,65.9621,0.03447,56.867,59.141,61.415,63.688,65.962,68.236,70.51,72.783,75.057,F,height
188,1.0,66.0145,0.03446,56.915,59.19,61.465,63.74,66.014,68.289,70.564,72.839,75.114,F,height
189,1.0,66.0668,0.03446,56.96,59.237,61.513,63.79,66.067,68.343,70.62,72.897,75.173,F,height
190,1.0,66.1189,0.03446,57.005,59.284,61.562,63.84,66.119,68.397,70.676,72.954,75.233,F,height
191,1.0,66.1709,0.03445,57.053,59.332,61.612,63.891,66.171,68.45,70.73,73.01,75.289,F,height
192,1.0,66.2228,0.03445,57.097,59.379,61.66,63.941,66.223,68.504,70.786,73.067,75.348,F,height
193,1.0,66.2745,0.03445,57.142,59.425,61.708,63.991,66.274,68.558,70.841,73.124,75.407,F,height
194,1.0,66.3261,0.03444,57.189,59.473,61.758,64.042,66.326,68.61,70.895,73.179,75.463,F,height
195,1.0,66.3776,0.03444,57.233,59.519,61.806,64.092,66.378,68.664,70.95,73.236,75.522,F,height
196,1.0,66.429,0.03444,57.278,59.566,61.853,64.141,66.429,68.717,71.005,73.292,75.58,F,height
197,1.0,66.4802,0.03444,57.322,59.611,61.901,64.191,66.48,68.77,71.059,73.349,75.639,F,height
198,1.0,66.5313,0.03444,57.366,59.657,61.949,64.24,66.531,68.823,71.114,73.405,75.697,F,height
199,1.0,66.5823,0.03443,57.413,59.705,61.997,64.29,66.582,68.875,71.167,73.46,75.752,F,height
200,1.0,66.6331,0.03443,57.456,59.751,62.045,64.339,66.633,68.927,71.221,73.516,75.81,F,height
201,1.0,66.6839,0.03443,57.5,59.796,62.092,64.388,66.684,68.98,71.276,73.572,75.868,F,height
202,1.0,66.7345,0.03443,57.544,59.841,62.139,64.437,66.734,69.032,71.33,73.628,75.925,F,height
203,1.0,66.785,0.03442,57.59,59.889,62.188,64.486,66.785,69.084,71.382,73.681,75.98,F,height
204,1.0,66.8354,0.03442,57.634,59.934,62.234,64.535,66.835,69.136,71.436,73.737,76.037,F,height
205,1.0,66.8857,0.03442,57.677,59.979,62.281,64.583,66.886,69.188,71.49,73.792,76.095,F,height
206,1.0,66.9359,0.03442,57.72,60.024,62.328,64.632,66.936,69.24,71.544,73.848,76.152,F,height
207,1.0,66.9859,0.03442,57.763,60.069,62.375,64.68,66.986,69.292,71.597,73.903,76.209,F,height
208,1.0,67.0359,0.03442,57.806,60.114,62.421,64.729,67.036,69.343,71.651,73.958,76.265,F,height
209,1.0,67.0858,0.03441,57.852,60.161,62.469,64.777,67.086,69.394,71.703,74.011,76.319,F,height
210,1.0,67.1355,0.03441,57.895,60.205,62.515,64.825,67.136,69.446,71.756,74.066,76.376,F,height
211,1.0,67.1852,0.03441,57.938,60.25,62.562,64.873,67.185,69.497,71.809,74.121,76.433,F,height
212,1.0,67.2347,0.03441,57.981,60.294,62.608,64.921,67.235,69.548,71.862,74.175,76.489,F,height
213,1.0,67.2842,0.03441,58.023,60.338,62.654,64.969,67.284,69.599,71.915,74.23,76.545,F,height
214,1.0,67.3335,0.03441,58.066,60.383,62.7,65.017,67.334,69.65,71.967,74.284,76.601,F,height
215,1.0,67.3828,0.03441,58.108,60.427,62.746,65.064,67.383,69.701,72.02,74.339,76.657,F,height
216,1.0,67.432,0.03441,58.151,60.471,62.791,65.112,67.432,69.752,72.073,74.393,76.713,F,height
217,1.0,67.481,0.0344,58.196,60.517,62.838,65.16,67.481,69.802,72.124,74.445,76.766,F,height
218,1.0,67.53,0.0344,58.238,60.561,62.884,65.207,67.53,69.853,72.176,74.499,76.822,F,height
219,1.0,67.5789,0.0344,58.28,60.605,62.929,65.254,67.579,69.904,72.228,74.553,76.878,F,height
220,1.0,67.6277,0.0344,58.322,60.649,62.975,65.301,67.628,69.954,72.28,74.607,76.933,F,height
221,1.0,67.6764,0.0344,58.364,60.692,63.02,65.348,67.676,70.004,72.333,74.661,76.989,F,height
222,1.0,67.725,0.0344,58.406,60.736,63.066,65.395,67.725,70.055,72.384,74.714,77.044,F,height
223,1.0,67.7735,0.0344,58.448,60.779,63.111,65.442,67.774,70.105,72.436,74.768,77.099,F,height
224,1.0,67.8219,0.0344,58.49,60.823,63.156,65.489,67.822,70.155,72.488,74.821,77.154,F,height
225,1.0,67.8703,0.0344,58.531,60.866,63.201,65.536,67.87,70.205,72.54,74.875,77.209,F,height
226,1.0,67.9185,0.0344,58.573,60.909,63.246,65.582,67.918,70.255,72.591,74.928,77.264,F,height
227,1.0,67.9667,0.0344,58.614,60.953,63.291,65.629,67.967,70.305,72.643,74.981,77.319,F,height
228,1.0,68.0148,0.0344,58.656,60.996,63.335,65.675,68.015,70.355,72.694,75.034,77.374,F,height
229,1.0,68.0628,0.0344,58.697,61.039,63.38,65.721,68.063,70.404,72.746,75.087,77.428,F,height
230,1.0,68.1107,0.0344,58.739,61.082,63.425,65.768,68.111,70.454,72.797,75.14,77.483,F,height
231,1.0,68.1585,0.0344,58.78,61.125,63.469,65.814,68.158,70.503,72.848,75.192,77.537,F,height
232,1.0,68.2063,0.0344,58.821,61.167,63.514,65.86,68.206,70.553,72.899,75.245,77.591,F,height
233,1.0,68.254,0.0344,58.862,61.21,63.558,65.906,68.254,70.602,72.95,75.298,77.646,F,height
234,1.0,68.3016,0.0344,58.903,61.253,63.602,65.952,68.302,70.651,73.001,75.35,77.7,F,height
235,1.0,68.3491,0.0344,58.944,61.295,63.647,65.998,68.349,70.7,73.052,75.403,77.754,F,height
236,1.0,68.3965,0.0344,58.985,61.338,63.691,66.044,68.396,70.749,73.102,75.455,77.808,F,height
237,1.0,68.4439,0.0344,59.026,61.38,63.735,66.089,68.444,70.798,73.153,75.507,77.862,F,height
238,1.0,68.4911,0.0344,59.067,61.423,63.779,66.135,68.491,70.847,73.203,75.559,77.915,F,height
239,1.0,68.5383,0.0344,59.107,61.465,63.823,66.181,68.538,70.896,73.254,75.611,77.969,F,height
240,1.0,68.5855,0.0344,59.148,61.507,63.867,66.226,68.586,70.945,73.304,75.664,78.023,F,height
241,1.0,68.6325,0.0344,59.189,61.55,63.911,66.272,68.632,70.993,73.354,75.715,78.076,F,height
242,1.0,68.6795,0.0344,59.229,61.592,63.954,66.317,68.68,71.042,73.405,75.767,78.13,F,height
243,1.0,68.7264,0.0344,59.27,61.634,63.998,66.362,68.726,71.091,73.455,75.819,78.183,F,height
244,1.0,68.7732,0.0344,59.31,61.676,64.042,66.407,68.773,71.139,73.505,75.871,78.236,F,height
245,1.0,68.82,0.0344,59.35,61.718,64.085,66.453,68.82,71.187,73.555,75.922,78.29,F,height
246,1.0,68.8666,0.0344,59.391,61.76,64.129,66.498,68.867,71.236,73.605,75.974,78.343,F,height
247,1.0,68.9133,0.0344,59.431,61.801,64.172,66.543,68.913,71.284,73.655,76.025,78.396,F,height
248,1.0,68.9598,0.0344,59.471,61.843,64.215,66.588,68.96,71.332,73.704,76.076,78.449,F,height
